Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.86840062,44.50992708,47.69277028,51.48921684,59.11296956,61.48233975,60.99540422,60.62903636,60.7572465,61.32942551,63.97844994,68.21079019,72.17430468,78.45984053,97.36619212,96.15717903,100,105.4784475,108.5735186,111.7673444,116.0767452,117.4974456,121.0448577,124.5704532,127.6337468,130.113128,133.938838,137.8508362,145.217175
Cameroon,CMR,,,,,,,,,7.524800838,7.441908296,7.877861669,8.19408137,8.857221713,9.77702193,11.46188962,13.01535727,14.30786692,16.41088144,18.45617818,19.67070744,21.54960508,23.86133896,27.02464141,31.51917071,35.10394751,38.09072278,41.05038145,46.44460676,47.22595953,46.43939894,46.949945,46.97813907,46.97059671,45.46445889,61.41996607,66.99056704,69.61931958,72.95146648,75.26457645,76.6733374,77.61426503,81.04463894,83.34178651,83.86114215,84.05708151,85.74960405,90.13790706,90.96843976,95.82415884,98.74068065,100,102.9396995,105.7554057,107.9237587,109.9256349,112.8675036,113.8541804,114.583313,115.8080461,118.6485883,121.5407767,124.3020101,132.0679984
Canada,CAN,13.34430452,13.48025186,13.62335432,13.84516314,14.10990269,14.43903835,14.98998283,15.52661706,16.15626789,16.89324556,17.45850029,17.93073841,18.82512879,20.23468804,22.45993131,24.85689754,26.73153978,28.86376646,31.45392101,34.33028048,37.80767029,42.52289639,47.10217516,49.86405266,52.01058958,54.07126503,56.33943904,58.79364625,61.16199199,64.21007441,67.27962221,71.06468231,72.12364053,73.46880366,73.59044076,75.17172295,76.35231826,77.59015455,78.36290784,79.72238122,81.89038351,83.95821408,85.85432169,88.22266743,89.86119061,91.85031483,93.68918145,95.69261591,97.96078993,98.25414997,100,102.9121351,104.4719519,105.4522038,107.4627934,108.6720092,110.2246709,111.9848311,114.5248998,116.7572982,117.5944476,121.5870063,129.8583286
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.72461958,100,101.3254358,102.530143,104.745421,106.0798558,103.5896018,102.9418991,,,,,,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,36.77504844,36.76279009,41.65080694,47.73707746,48.95065406,54.05319203,55.26676863,51.40538854,49.36743794,49.70760714,49.70147796,48.32854282,47.82901508,46.43462783,57.8440866,68.94402206,71.51214627,72.66443112,71.29456057,70.28631132,72.53786367,75.31958962,77.07590464,80.26276905,78.60421436,80.87078318,86.28529615,87.11356391,95.1793661,98.53088121,100,101.1944757,106.7382086,114.1979215,131.2119091,133.0527731,139.6328085,145.4704699,147.8156821,151.7850853,154.380848,160.9564905,169.9429607
Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,38.13197913,45.85404659,48.2173637,41.92182861,39.41706527,45.5178485,43.8386338,43.51498094,44.90479492,43.50689488,39.84016272,56.46342968,61.6751883,68.66352921,72.48963759,75.57686332,69.51177498,72.1689327,81.14045951,85.35312526,83.8572525,79.36636096,85.62865706,92.51002339,84.20748967,92.87831452,102.1219572,100,102.0292405,109.6983946,109.9426617,111.7918677,116.6851394,115.760479,113.9811251,118.8533874,117.6982047,122.9524225,122.0021916,129.0637113
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,0.001124748,0.001350285,0.002400749,0.010870856,0.065740254,0.312092174,0.973491335,1.868656848,2.617749516,3.491795635,4.718754676,5.647728015,6.209170178,7.901615782,9.470892926,12.37878843,14.78978499,17.73011933,20.33367233,23.79607719,29.99173834,36.52526231,42.15957859,47.52555149,52.96395721,57.32428402,61.54284562,65.31780047,68.65570307,70.94666093,73.67333477,76.30281015,78.20229091,80.39991507,81.2479241,83.72807891,86.56814986,90.38390024,98.26200387,98.60891314,100,103.3412169,106.4491507,108.3541174,113.4669963,118.401419,122.884326,125.5665448,128.6239518,131.913567,135.9309826,142.0812728,158.6250269
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,26.04831978,27.9326124,33.18724459,39.24246922,40.44026323,41.87859627,44.53955446,51.04681839,63.42923988,74.07978637,80.23815776,82.47396598,81.83628882,80.68937558,80.97002229,81.55229846,80.95535936,81.86821482,84.9993772,86.50931811,87.93622961,92.17191349,97.63333106,96.92239907,100,105.5538989,108.318909,111.1580018,113.2940602,114.9221228,117.2205674,119.0880504,121.5588779,125.0831544,128.1094436,129.3662166,131.9193567
Colombia,COL,0.057306653,0.062053472,0.064968182,0.082090829,0.096105733,0.103400815,0.120697877,0.130749827,0.140487471,0.150295833,0.160679205,0.179864723,0.202247914,0.247813659,0.306969152,0.378915055,0.454058552,0.607543139,0.715461993,0.888132133,1.123954777,1.432522652,1.786656408,2.13679313,2.482133454,3.080083731,3.660447374,4.513405859,5.782051895,7.277726949,9.3993317,12.25558374,15.56589371,19.05926674,23.41359289,28.30511226,34.19188935,40.50713874,48.07264891,53.29991833,58.21702137,62.85433367,66.84653125,71.61254764,75.84056681,79.67128873,83.09191467,87.6988502,93.83503786,97.77847091,100,103.4150334,106.6925681,108.8445489,111.9997759,117.5883756,126.4233315,131.87763,136.151216,140.9478497,144.5090874,149.5597632,164.7808063
